,order_id,order_details_id,pizza_id,quantity,unit_price,total_price
0,1,1,hawaiian_m,1,13.25,13.25
1,2,2,classic_dlx_m,1,16.0,16.0
2,2,3,five_cheese_l,1,18.5,18.5
3,2,4,ital_supr_l,1,20.75,20.75
4,2,5,mexicana_m,1,16.0,16.0
5,2,6,thai_ckn_l,1,20.75,20.75
6,3,7,ital_supr_m,1,16.5,16.5
7,3,8,prsc_argla_l,1,20.75,20.75
8,4,9,ital_supr_m,1,16.5,16.5
9,5,10,ital_supr_m,1,16.5,16.5
10,6,11,bbq_ckn_s,1,12.75,12.75
11,6,12,the_greek_s,1,12.0,12.0
12,7,13,spinach_supr_s,1,12.5,12.5
13,8,14,spinach_supr_s,1,12.5,12.5
14,9,15,classic_dlx_s,1,12.0,12.0
15,9,16,green_garden_s,1,12.0,12.0
16,9,17,ital_cpcllo_l,1,20.5,20.5
17,9,18,ital_supr_l,1,20.75,20.75
18,9,19,ital_supr_s,1,12.5,12.5
19,9,20,mexicana_s,1,12.0,12.0
20,9,21,spicy_ital_l,1,20.75,20.75
21,9,22,spin_pesto_l,1,20.75,20.75
22,9,23,veggie_veg_s,1,12.0,12.0
23,10,24,mexicana_l,1,20.25,20.25
24,10,25,southw_ckn_l,1,20.75,20.75
25,11,26,bbq_ckn_l,1,20.75,20.75
26,11,27,cali_ckn_l,1,20.75,20.75
27,11,28,cali_ckn_m,1,16.75,16.75
28,11,29,pepperoni_l,1,15.25,15.25
29,12,30,cali_ckn_l,1,20.75,20.75
30,12,31,cali_ckn_s,1,12.75,12.75
31,12,32,ckn_pesto_l,1,20.75,20.75
32,12,33,ital_supr_m,1,16.5,16.5
33,13,34,mexicana_l,1,20.25,20.25
34,14,35,the_greek_s,1,12.0,12.0
35,15,36,big_meat_s,1,12.0,12.0
36,15,37,five_cheese_l,1,18.5,18.5
37,15,38,soppressata_l,1,20.75,20.75
38,15,39,the_greek_s,1,12.0,12.0
39,16,40,four_cheese_l,1,17.95,17.95
40,16,41,napolitana_s,1,12.0,12.0
41,16,42,thai_ckn_l,1,20.75,20.75
42,17,43,bbq_ckn_l,1,20.75,20.75
43,17,44,calabrese_m,1,16.25,16.25
44,17,45,five_cheese_l,1,18.5,18.5
45,17,46,four_cheese_m,1,14.75,14.75
46,17,47,ital_supr_m,1,16.5,16.5
47,17,48,ital_veggie_s,1,12.75,12.75
48,17,49,mediterraneo_m,2,16.0,32.0
49,17,50,mexicana_l,1,20.25,20.25
50,17,51,peppr_salami_s,1,12.5,12.5
51,17,52,spinach_fet_l,1,20.25,20.25
52,18,53,napolitana_l,1,20.5,20.5
53,19,54,ital_cpcllo_l,1,20.5,20.5
54,19,55,sicilian_l,1,20.25,20.25
55,20,56,big_meat_s,1,12.0,12.0
56,20,57,five_cheese_l,1,18.5,18.5
57,21,58,ital_cpcllo_l,1,20.5,20.5
58,22,59,five_cheese_l,1,18.5,18.5
59,22,60,ital_cpcllo_m,1,16.0,16.0
60,22,61,southw_ckn_l,1,20.75,20.75
61,23,62,southw_ckn_s,1,12.75,12.75
62,24,63,bbq_ckn_m,1,16.75,16.75
63,24,64,ital_cpcllo_m,1,16.0,16.0
64,24,65,pepperoni_m,1,12.5,12.5
65,24,66,prsc_argla_s,1,12.5,12.5
66,25,67,sicilian_m,1,16.25,16.25
67,25,68,thai_ckn_l,1,20.75,20.75
68,26,69,classic_dlx_s,1,12.0,12.0
69,26,70,veggie_veg_l,1,20.25,20.25
70,27,71,bbq_ckn_l,1,20.75,20.75
71,27,72,classic_dlx_m,1,16.0,16.0
72,27,73,spinach_fet_l,1,20.25,20.25
73,28,74,ckn_alfredo_s,1,12.75,12.75
74,29,75,green_garden_s,1,12.0,12.0
75,30,76,thai_ckn_l,1,20.75,20.75
76,31,77,mexicana_m,1,16.0,16.0
77,31,78,pepperoni_s,1,9.75,9.75
78,32,79,big_meat_s,1,12.0,12.0
79,32,80,green_garden_l,1,20.25,20.25
80,32,81,ital_cpcllo_l,1,20.5,20.5
